Museum,Catalog number,Year,Original year,Latitude,Longitude,PC1,Chroma,Loc_SiteName,Loc_Municipality,Loc_Department,RegMus_ObsAlt,Distance over transect
Universidad del Valle,4594,1956,1969,3.65215,-77.15063,-0.331576697,0.328,"RAPOSO, RIO",Unknown,Valle del Cauca,Unknown,31.635
Universidad del Valle,1611,1956,1985,3.65215,-77.15063,-0.676698029,0.413,"RAPOSO, RIO",Unknown,Valle del Cauca,,31.635
Cornell University Museum of Vertebrates,27037,1956,1956,3.61399,-76.90524,0.3839349,0.404,"Anchicaya Rio Anchicaya, 26 miles Southeast Buenaventura",Dagua             ,Valle del Cauca,1000 ft,56.388
Cornell University Museum of Vertebrates,27039,1956,1956,3.61399,-76.90524,-0.606000223,0.417,"Anchicaya Rio Anchicaya, 26 miles Southeast Buenaventura",Dagua             ,Valle del Cauca,1000 ft,56.388
Cornell University Museum of Vertebrates,27042,1956,1956,3.61399,-76.90524,-0.482990157,0.419,"Anchicaya Rio Anchicaya, 26 miles Southeast Buenaventura",Dagua             ,Valle del Cauca,1000 ft,56.388
Universidad del Valle,1616,1956,1968,3.60326,-76.87676,-0.206683867,0.405,"ANCHICAYA, RIO",Buenaventura,Valle del Cauca,340,59.496
Universidad del Valle,1617,1956,1968,3.60326,-76.87676,,0.419,"ANCHICAYA, RIO",Buenaventura,Valle del Cauca,340,59.496
Universidad del Valle,1601,1956,1968,3.60326,-76.87676,0.228857794,0.345,"ANCHICAYA, RIO",Buenaventura,Valle del Cauca,340,59.496
Universidad del Valle,1865,1956,1968,3.60326,-76.87676,0.174425272,0.452,"ANCHICAYA, RIO",Buenaventura,Valle del Cauca,340,59.496
Universidad del Valle,442,1956,1969,3.60326,-76.87676,0.081580109,0.466,"ANCHICAYA, RIO",Buenaventura,Valle del Cauca,200,59.496
Universidad del Valle,1615,1956,1968,3.60326,-76.87676,-1.297608103,0.433,"ANCHICAYA, REPRESA",Buenaventura,Valle del Cauca,340,59.496
Universidad del Valle,1614,1956,1966,3.74203,-76.96496,-1.350448727,0.378,"ZABALETAS, RIO",Yotoco,Valle del Cauca,,45.732
Cornell University Museum of Vertebrates,27061,1956,1956,3.794447,-76.992583,-0.549633692,0.411,"Km 124, 11 mi. E B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,41.07
Cornell University Museum of Vertebrates,27062,1956,1956,3.794447,-76.992583,-0.221243885,0.413,"Km 124, 11 mi. E B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,41.07
Cornell University Museum of Vertebrates,27063,1956,1956,3.794447,-76.992583,,0.423,"Km 124, 11 mi. E B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,41.07
Cornell University Museum of Vertebrates,27065,1956,1956,3.843675,-77.0004,,0.415,"Km 130, 7 mi. E B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,38.406
Universidad del Valle,707,1956,1969,3.76765,-76.67258,0.491017948,0.62,CONFLUENCIA QUEBRADA DE LOS INDIOS CON RIO DAGUA,,Valle del Cauca,500 - 600,72.483
Universidad del Valle,3414,1956,1971,3.883333333,-77.06666667,-1.463021586,0.441,BUENAVENTURA,Buenaventura,Valle del Cauca,,30.525
Universidad del Valle,3417,1956,1971,3.883333333,-77.06666667,-0.173179073,,BUENAVENTURA,Buenaventura,Valle del Cauca,,30.525
Universidad del Valle,3415,1956,1971,3.883333333,-77.06666667,-0.059227662,0.409,BUENAVENTURA,Buenaventura,Valle del Cauca,,30.525
Universidad del Valle,3416,1956,1971,3.883333333,-77.06666667,-1.440707064,0.416,BUENAVENTURA,Buenaventura,Valle del Cauca,,30.525
Cornell University Museum of Vertebrates,27067,1956,1956,3.794447,-76.992583,,0.395,"Km 124, 11 mi. E B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,41.07
Cornell University Museum of Vertebrates,27069,1956,1956,3.74571,-76.95298,-0.132254583,0.401,"Zabaletas, 14 mi. SE B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,46.731
Cornell University Museum of Vertebrates,27072,1956,1956,3.74571,-76.95298,-1.37924577,0.352,"Zabaletas, 14 mi. SE B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,46.731
Cornell University Museum of Vertebrates,27070,1956,1956,3.74571,-76.95298,0.310601597,0.375,"Zabaletas, 14 mi. SE B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,46.731
Cornell University Museum of Vertebrates,27071,1956,1956,3.74571,-76.95298,0.518455671,0.389,"Zabaletas, 14 mi. SE B/tura, Valle, Colombia",Buenaventura,Valle del Cauca,,46.731
Instituto de Ciencias Naturales,26342,1956,1980,3.78746,-76.71951,-1.265404572,,Quebrada la Reina,Dagua,Valle del Cauca,680,67.266
Instituto de Ciencias Naturales,26326,1956,1980,3.78746,-76.71951,-1.160874053,,Quebrada la Reina,Dagua,Valle del Cauca,680,67.266
Cornell University Museum of Vertebrates,27013,1956,1956,3.60596,-76.86819,-1.671683526,0.433,EL PLACER,Buenaventura,Valle del Cauca,,60.273
Cornell University Museum of Vertebrates,27015,1956,1956,3.60596,-76.86819,,0.486,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27016,1956,1956,3.60596,-76.86819,0.238113753,0.575,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27030,1956,1956,3.60596,-76.86819,-0.811446193,0.449,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27031,1956,1956,3.60596,-76.86819,,0.477,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27032,1956,1956,3.60596,-76.86819,,0.362,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27029,1956,1956,3.60596,-76.86819,-0.02107883,0.452,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
